sample,reagent,volume,time,dilution,area_p4,area_f,area_b,,,
1,DCM,2,1,yes,N/A,N/A,N/A,,,
7,DCM,2,1,no,N/A,N/A,N/A,,,
17,DCM,3,2,yes,N/A,146,N/A,,,
19,DCM,3,1,no,N/A,N/A,N/A,,,
26,DCM,5,1,yes,N/A,7242,2670,,,
31,DCM,5,1,no,N/A,8803,1830,,,
38,DCMBLK,2,1,N/A,432000,40550,31100,,,
40,DCMBLK,2,2,N/A,399333,49667,33433,,,
43,DCMBLK,2,1,N/A,475000,60767,40933,,,
46,DCMBLK,3,2,N/A,739667,102200,61033,,,
49,DCMBLK,3,1,N/A,584333,109333,55600,,,
52,DCMBLK,5,2,N/A,780333,144133,66800,,,
56,HEX/ACN,N/A,N/A,N/A,695000,173567,67500,,,
